station_id,lat,lon,elevation
021210-99999,66.683,16.117,615.0
021240-99999,66.05,17.833,432.0
021280-99999,65.0,17.7,283.0
021300-99999,66.483,16.417,481.0
021350-99999,65.567,17.867,393.0
021410-99999,66.317,19.217,582.0
021420-99999,66.496,20.147,275.5
021440-99999,65.983,18.933,374.0
021470-99999,65.15,18.6,363.0
021490-99999,65.6,19.267,384.0
021510-99999,66.483,20.167,275.0
021540-99999,65.875,20.15,182.0
021610-99999,66.75,20.933,327.0
021640-99999,66.383,21.633,263.0
021710-99999,65.817,21.633,18.0
021730-99999,65.667,21.067,43.0
021740-99999,66.283,21.133,186.0
021760-99999,65.033,21.567,4.0
021810-99999,66.267,22.85,62.0
021840-99999,66.817,22.333,229.0
021860-99999,65.544,22.122,19.8
021880-99999,65.317,22.383,2.0
021910-99999,65.7,23.1,4.0
021960-99999,65.833,24.15,6.0
021990-99999,66.617,23.467,132.0
022000-99999,63.983,12.867,425.0
022060-99999,63.283,12.133,583.0
022090-99999,63.05,12.283,1030.0
022160-99999,63.3,13.883,365.0
022190-99999,64.5,14.217,550.0
022210-99999,63.833,13.5,717.0
022220-99999,64.5,14.167,330.0
022260-99999,63.2,14.5,376.0
022300-99999,64.217,15.55,310.0
022310-99999,63.683,14.6,362.0
022340-99999,63.867,15.583,373.0
022360-99999,63.767,15.333,376.0
022420-99999,64.083,16.233,241.0
022430-99999,63.683,16.95,214.0
022450-99999,64.583,16.85,349.0
022470-99999,63.15,16.167,184.0
022540-99999,64.167,17.317,308.0
022590-99999,63.049,17.769,10.4
022600-99999,63.133,18.25,143.0
022610-99999,64.55,18.717,211.0
022620-99999,66.567,16.35,500.0
022650-99999,63.65,18.55,183.0
022670-99999,63.408,18.99,107.9
022690-99999,63.183,19.017,11.0
022710-99999,64.933,19.383,310.0
022820-99999,64.567,19.7,258.0
022840-99999,63.433,19.683,7.0
022860-99999,63.792,20.283,7.3
022870-99999,63.8,20.867,8.0
022880-99999,63.6,20.75,6.0
022930-99999,64.625,21.077,47.9
022960-99999,64.483,21.583,36.0
022970-99999,64.483,21.583,43.0
023060-99999,61.133,12.817,465.0
023070-99999,61.883,12.85,869.0
023080-99999,62.45,12.667,724.0
023100-99999,62.8,13.067,583.0
023160-99999,61.7,13.183,425.0
023170-99999,62.1,13.617,566.0
023190-99999,62.75,13.85,467.0
023210-99999,61.25,14.033,253.0
023240-99999,62.017,14.183,363.0
023250-99999,62.5,14.15,803.0
023260-99999,64.083,18.417,300.0
023290-99999,61.667,15.0,455.0
023310-99999,62.75,15.083,343.0
023370-99999,62.267,15.667,320.0
023380-99999,61.367,15.717,185.0
023420-99999,62.517,16.183,105.0
023430-99999,62.5,16.283,100.0
023470-99999,61.833,16.55,72.0
023550-99999,61.7,17.533,10.0
023660-99999,62.528,17.444,4.9
023680-99999,62.217,17.75,18.0
023760-99999,61.267,17.1,36.0
023820-99999,62.65,18.1,18.0
024000-99999,60.35,12.65,310.0
024030-99999,58.7,13.117,53.0
024040-99999,59.667,12.583,75.0
024060-99999,59.283,12.05,110.0
024080-99999,59.217,12.083,171.0
024100-99999,60.683,13.7,308.0
024120-99999,60.15,13.8,190.0
024180-99999,59.445,13.337,107.3
024230-99999,59.867,13.117,109.0
024280-99999,59.1,14.367,105.0
024283-99999,59.224,15.038,57.3
024290-99999,59.667,14.183,133.0
024350-99999,60.422,15.515,153.3
024400-99999,60.967,16.433,162.0
024410-99999,60.967,14.5,197.0
024430-99999,59.65,17.117,26.0
024440-99999,60.167,16.317,70.0
024460-99999,59.589,16.634,6.4
024490-99999,59.383,16.45,15.0
024500-99999,60.733,17.567,4.0
024520-99999,59.3,14.9,219.0
024530-99999,60.717,17.167,16.0
024560-99999,60.233,17.9,35.0
024580-99999,59.897,17.589,20.7
024600-99999,59.652,17.919,41.8
024640-99999,59.354,17.942,14.3
024680-99999,60.383,15.133,493.0
024690-99999,59.183,17.917,54.0
024740-99999,60.167,18.75,14.0
024760-99999,59.05,16.4,33.0
024810-99999,59.917,16.683,58.0
024820-99999,60.267,16.983,57.0
024840-99999,59.35,18.067,44.0
024853-99999,58.789,16.912,42.7
024860-99999,59.367,17.517,6.0
024870-99999,59.35,18.733,22.0
024880-99999,60.533,18.383,9.0
024890-99999,59.067,18.117,3.0
024900-99999,59.833,18.633,16.0
024930-99999,59.75,19.417,15.0
024960-99999,59.45,19.5,12.0
025000-99999,58.9,11.0,35.0
025050-99999,58.1,11.333,16.0
025080-99999,58.1,11.35,14.0
025103-99999,58.318,12.345,41.8
025120-99999,57.775,11.87,18.0
025130-99999,57.717,12.0,2.0
025160-99999,57.633,11.617,19.0
025180-99999,57.3,11.9,2.0
025200-99999,58.426,12.714,55.2
025240-99999,57.933,13.067,190.0
025260-99999,57.663,12.28,154.2
025300-99999,58.9,13.25,50.0
025350-99999,58.456,13.973,98.8
025360-99999,57.783,13.167,299.0
025390-99999,57.117,12.783,122.0
025400-99999,58.6,12.2,174.0
025420-99999,58.317,13.033,71.0
025440-99999,58.517,14.517,94.0
